Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
5.84e+09,Resistance,2.50275,0.0585565,2.50275
5.84e+09,Inductance,1.12905e-08,5.94184e-10,1.12905e-08
5.84e+09,Conductance,0.00207128,-0.000109413,0.00207128
5.84e+09,Capacitance,2.82235e-12,-1.49034e-13,2.82235e-12
5.91333e+09,Resistance,2.51831,0.0581423,2.51831
5.91333e+09,Inductance,1.12901e-08,5.94168e-10,1.12901e-08
5.91333e+09,Conductance,0.00209729,-0.000110585,0.00209729
5.91333e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
5.98667e+09,Resistance,2.53386,0.0594351,2.53386
5.98667e+09,Inductance,1.12896e-08,5.94154e-10,1.12896e-08
5.98667e+09,Conductance,0.00212328,-0.000112191,0.00212328
5.98667e+09,Capacitance,2.82235e-12,-1.49031e-13,2.82235e-12
6.06e+09,Resistance,2.54953,0.0598234,2.54953
6.06e+09,Inductance,1.12892e-08,5.94143e-10,1.12892e-08
6.06e+09,Conductance,0.00214922,-0.000113553,0.00214922
6.06e+09,Capacitance,2.82235e-12,-1.4903e-13,2.82235e-12
6.13333e+09,Resistance,2.56455,0.0600716,2.56455
6.13333e+09,Inductance,1.12888e-08,5.94147e-10,1.12888e-08
6.13333e+09,Conductance,0.00217529,-0.000114914,0.00217529
6.13333e+09,Capacitance,2.82234e-12,-1.49034e-13,2.82234e-12
6.20667e+09,Resistance,2.57956,0.0602652,2.57956
6.20667e+09,Inductance,1.12884e-08,5.94135e-10,1.12884e-08
6.20667e+09,Conductance,0.00220134,-0.000116251,0.00220134
6.20667e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
6.28e+09,Resistance,2.59517,0.0606836,2.59517
6.28e+09,Inductance,1.1288e-08,5.94124e-10,1.1288e-08
6.28e+09,Conductance,0.0022272,-0.000117631,0.0022272
6.28e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
6.35333e+09,Resistance,2.61007,0.0609912,2.61007
6.35333e+09,Inductance,1.12877e-08,5.94113e-10,1.12877e-08
6.35333e+09,Conductance,0.00225324,-0.000118983,0.00225324
6.35333e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
6.42667e+09,Resistance,2.62487,0.0612221,2.62487
6.42667e+09,Inductance,1.12873e-08,5.94111e-10,1.12873e-08
6.42667e+09,Conductance,0.00227928,-0.000120341,0.00227928
6.42667e+09,Capacitance,2.82235e-12,-1.49035e-13,2.82235e-12
6.5e+09,Resistance,2.63973,0.0613608,2.63973
6.5e+09,Inductance,1.12869e-08,5.94098e-10,1.12869e-08
6.5e+09,Conductance,0.00230529,-0.000121633,0.00230529
6.5e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
6.57333e+09,Resistance,2.65439,0.0618478,2.65439
6.57333e+09,Inductance,1.12865e-08,5.94084e-10,1.12865e-08
6.57333e+09,Conductance,0.00233132,-0.000123049,0.00233132
6.57333e+09,Capacitance,2.82235e-12,-1.49031e-13,2.82235e-12
6.64667e+09,Resistance,2.66924,0.0625829,2.66924
6.64667e+09,Inductance,1.12862e-08,5.94079e-10,1.12862e-08
6.64667e+09,Conductance,0.00235727,-0.000124545,0.00235727
6.64667e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
6.72e+09,Resistance,2.68322,0.0624493,2.68322
6.72e+09,Inductance,1.12858e-08,5.9407e-10,1.12858e-08
6.72e+09,Conductance,0.00238345,-0.000125794,0.00238345
6.72e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
6.79333e+09,Resistance,2.69778,0.0629031,2.69778
6.79333e+09,Inductance,1.12855e-08,5.94061e-10,1.12855e-08
6.79333e+09,Conductance,0.00240941,-0.000127192,0.00240941
6.79333e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
6.86667e+09,Resistance,2.71231,0.0632962,2.71231
6.86667e+09,Inductance,1.12852e-08,5.94052e-10,1.12852e-08
6.86667e+09,Conductance,0.00243542,-0.000128599,0.00243542
6.86667e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
6.94e+09,Resistance,2.7268,0.0636659,2.7268
6.94e+09,Inductance,1.12848e-08,5.94039e-10,1.12848e-08
6.94e+09,Conductance,0.00246138,-0.000129968,0.00246138
6.94e+09,Capacitance,2.82234e-12,-1.49031e-13,2.82234e-12
7.01333e+09,Resistance,2.74114,0.0638469,2.74114
7.01333e+09,Inductance,1.12845e-08,5.9404e-10,1.12845e-08
7.01333e+09,Conductance,0.00248739,-0.000131299,0.00248739
7.01333e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
7.08667e+09,Resistance,2.75527,0.0643228,2.75527
7.08667e+09,Inductance,1.12842e-08,5.94033e-10,1.12842e-08
7.08667e+09,Conductance,0.0025134,-0.000132696,0.0025134
7.08667e+09,Capacitance,2.82234e-12,-1.49033e-13,2.82234e-12
7.16e+09,Resistance,2.76926,0.064709,2.76926
7.16e+09,Inductance,1.12838e-08,5.94022e-10,1.12838e-08
